#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2020/7/1,157.2089283,136.6319663,145.302462,177.2902418,167.2253026,178.8034572,155.9472973,134.6314584,143.1041696,135.3438541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/8/1,421.2057653,389.3693472,398.8026236,497.3518191,450.7079677,514.9965552,411.1550354,384.6198296,390.5395365,385.2733179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/9/1,102.7385652,94.02875588,97.34525969,112.500119,106.1905621,110.0862129,99.27225116,92.78146202,96.02906971,91.04505946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/10/1,94.87846863,81.84047651,83.42669473,124.7995842,108.2761182,127.7586262,93.1529819,80.37357564,82.65131924,79.88804112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/11/1,143.8390125,133.6980389,133.7301708,163.9811072,154.7807551,170.331031,142.9260664,130.5840172,134.2464969,128.9000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/12/1,97.50658994,101.5693501,94.1348295,103.6707185,102.8805935,120.3861997,102.7126696,99.89759866,97.22103766,101.9154304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/1/1,65.0032949,58.54458551,55.87576447,75.51920654,70.23086474,85.54138014,62.25959304,54.96238877,56.22586437,56.01750423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/2/1,24.51938001,18.44232177,18.75559363,37.46988662,31.68113493,44.29655179,25.7679707,17.7039792,19.6535064,18.2559794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/3/1,94.9331243,79.84934655,83.26669889,117.7674957,107.0142306,122.6620741,89.44180738,76.37800563,80.40269399,75.95078624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/4/1,86.90570045,76.21601171,81.22915479,95.8762221,91.50910765,102.4931036,86.74115663,74.11554173,80.8121457,71.85684998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
