#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2017/9/1,77.59734822,68.73589301,72.07491197,89.3112077,83.09940648,95.17584845,77.93492458,67.7853559,71.61991444,66.38405721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/1,149.2096903,128.5305345,130.0543237,200.3121493,172.3833148,205.9034521,147.4717916,126.1368622,129.1600106,126.1880462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11/1,114.9717566,105.565716,106.0140681,132.6336467,125.0678827,141.537929,115.888921,104.0252286,107.3904448,102.5889107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/12/1,103.5728288,105.8723788,99.09228996,110.7619962,109.4876221,127.0344976,108.194971,104.6567542,102.3754585,106.7006923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/1/1,34.88803132,28.25071311,28.06372851,46.18213871,41.01630025,54.49654921,35.13138072,27.75517995,29.5571657,28.56013824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/2/1,25.14141907,16.89267918,17.97872945,43.01204557,34.96821343,52.83792993,27.2127544,16.72289815,19.32225644,17.43448871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/3/1,61.40684051,49.10023913,52.26737422,79.11297866,70.91177425,81.21724293,58.38166193,48.02575072,51.42525511,48.13830001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/4/1,37.28391591,32.00803632,34.43093306,41.22751893,39.20741651,42.58965586,36.38612809,31.21006073,34.10304949,30.02426449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/5/1,68.01273089,59.16256071,64.09245765,70.93561839,69.19901923,71.56207138,66.36955532,57.24294394,63.62047855,55.90190769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/6/1,86.56788895,71.87428389,79.02110245,91.8909659,90.32399097,94.67586138,86.13938359,68.63611056,78.63943298,66.77417242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
