#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
0000-09-01,17.27,19.3,17.82142857,16.10555556,16.74347826,14.11818182,18.2,18.44375,18.70952381,19.80625,0.146421053,0.039130435,0.08489011,0.325261438,0.151660079,0.407636364,0.085454545,0.113291667,0.040904762,0.028625,0.146421053,0.039130435,0.08489011,0.325261438,0.151660079,0.407636364,0.085454545,0.113291667,0.040904762,0.028625
0000-10-01,10.92,12.81666667,11.45,9.822222222,10.38695652,7.981818182,11.79166667,12.0125,12.25238095,13.31875,0.111157895,0.034492754,0.056538462,0.317124183,0.116640316,0.315636364,0.075378788,0.099833333,0.038619048,0.038958333,0.111157895,0.034492754,0.056538462,0.317124183,0.116640316,0.315636364,0.075378788,0.099833333,0.038619048,0.038958333
0000-11-01,2.87,4.654166667,3.371428571,1.633333333,2.295652174,-0.4,3.65,3.775,4.095238095,5.01875,0.091684211,0.055634058,0.088351648,0.324705882,0.133162055,0.416,0.075454545,0.123333333,0.04347619,0.050958333,0.091684211,0.055634058,0.088351648,0.324705882,0.133162055,0.416,0.075454545,0.123333333,0.04347619,0.050958333
0000-12-01,-3.655,-1.9875,-3.171428571,-4.894444444,-4.239130435,-6.809090909,-3.05,-2.78125,-2.50952381,-1.625,0.066815789,0.048097826,0.060659341,0.34879085,0.137035573,0.340909091,0.077272727,0.093625,0.037904762,0.047333333,0.066815789,0.048097826,0.060659341,0.34879085,0.137035573,0.340909091,0.077272727,0.093625,0.037904762,0.047333333
#Tmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),VARIENCE(degC^2),VARIENCE(degC^6),VARIENCE(degC^10),VARIENCE(degC^14),VARIENCE(degC^18),VARIENCE(degC^22),VARIENCE(degC^23),VARIENCE(degC^28),VARIENCE(degC^31),VARIENCE(degC^36),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC)
0000-01-01,-16.99,-15.36666667,-16.51428571,-17.67222222,-17.15652174,-18.99090909,-16.1,-15.925,-16.05714286,-15.25625,0.237789474,0.07884058,0.087472527,0.178594771,0.27256917,0.612909091,0.065454545,0.127333333,0.095571429,0.125291667,0.237789474,0.07884058,0.087472527,0.178594771,0.27256917,0.612909091,0.065454545,0.127333333,0.095571429,0.125291667
0000-02-01,-15.685,-14.79166667,-15.45714286,-15.91666667,-15.6826087,-16.6,-15.10833333,-15.025,-15.2,-14.8625,0.203447368,0.077318841,0.05956044,0.193235294,0.213320158,0.372,0.031742424,0.080666667,0.062,0.1065,0.203447368,0.077318841,0.05956044,0.193235294,0.213320158,0.372,0.031742424,0.080666667,0.062,0.1065
0000-03-01,-10.945,-9.504166667,-10.52857143,-11.81111111,-11.29565217,-13.04545455,-10.24166667,-10.0375,-10.06666667,-9.28125,0.107868421,0.047373188,0.074505495,0.09751634,0.11770751,0.386727273,0.064469697,0.1025,0.072333333,0.056291667,0.107868421,0.047373188,0.074505495,0.09751634,0.11770751,0.386727273,0.064469697,0.1025,0.072333333,0.056291667
0000-04-01,-3.275,-1.879166667,-2.892857143,-3.927777778,-3.482608696,-5.054545455,-2.316666667,-2.5125,-2.247619048,-1.675,0.143026316,0.028677536,0.04532967,0.105653595,0.261501976,0.300727273,0.121515152,0.057166667,0.041619048,0.023333333,0.143026316,0.028677536,0.04532967,0.105653595,0.261501976,0.300727273,0.121515152,0.057166667,0.041619048,0.023333333
0000-05-01,2.035,3.454166667,2.407142857,1.161111111,1.647826087,-0.072727273,2.683333333,2.79375,2.985714286,3.71875,0.047657895,0.019981884,0.042252747,0.100163399,0.065335968,0.180181818,0.046969697,0.057958333,0.025285714,0.025625,0.047657895,0.019981884,0.042252747,0.100163399,0.065335968,0.180181818,0.046969697,0.057958333,0.025285714,0.025625
0000-06-01,7.165,8.683333333,7.557142857,6.388888889,6.839130435,5.018181818,7.941666667,7.96875,8.247619048,9.0125,0.092921053,0.031884058,0.05032967,0.144575163,0.077944664,0.215636364,0.053560606,0.074291667,0.025619048,0.025166667,0.092921053,0.031884058,0.05032967,0.144575163,0.077944664,0.215636364,0.053560606,0.074291667,0.025619048,0.025166667
0000-07-01,12.165,13.47916667,12.5,11.51666667,11.90434783,10.33636364,12.86666667,12.875,13.1047619,13.775,0.078184211,0.031286232,0.043076923,0.102647059,0.066798419,0.148545455,0.047878788,0.059333333,0.02447619,0.023333333,0.078184211,0.031286232,0.043076923,0.102647059,0.066798419,0.148545455,0.047878788,0.059333333,0.02447619,0.023333333
0000-08-01,13.52,14.61666667,13.67857143,12.76666667,13.23043478,11.43636364,14.25,13.89375,14.36190476,14.81875,0.096421053,0.061449275,0.115659341,0.148235294,0.067667984,0.174545455,0.044545455,0.069958333,0.04347619,0.033625,0.096421053,0.061449275,0.115659341,0.148235294,0.067667984,0.174545455,0.044545455,0.069958333,0.04347619,0.033625
0000-09-01,7.82,9.145833333,8.142857143,7.116666667,7.586956522,5.8,8.866666667,8.4,8.814285714,9.325,0.186947368,0.051286232,0.053406593,0.088529412,0.29027668,0.322,0.131515152,0.068,0.058285714,0.026,0.186947368,0.051286232,0.053406593,0.088529412,0.29027668,0.322,0.131515152,0.068,0.058285714,0.026
0000-10-01,0.73,2.1,1.071428571,-0.088888889,0.456521739,-1.136363636,1.733333333,1.29375,1.780952381,2.15,0.161157895,0.111304348,0.057582418,0.071633987,0.209841897,0.230545455,0.153333333,0.076625,0.081619048,0.050666667,0.161157895,0.111304348,0.057582418,0.071633987,0.209841897,0.230545455,0.153333333,0.076625,0.081619048,0.050666667
0000-11-01,-5.135,-3.75,-4.764285714,-6.066666667,-5.5,-7.536363636,-4.383333333,-4.48125,-4.228571429,-3.50625,0.069763158,0.04173913,0.084010989,0.116470588,0.093636364,0.304545455,0.061515152,0.084291667,0.050142857,0.052625,0.069763158,0.04173913,0.084010989,0.116470588,0.093636364,0.304545455,0.061515152,0.084291667,0.050142857,0.052625
0000-12-01,-12.27,-10.89166667,-11.85714286,-13.19444444,-12.62173913,-14.60909091,-11.7,-11.49375,-11.4952381,-10.76875,0.099052632,0.065144928,0.121098901,0.105261438,0.077233202,0.430909091,0.067272727,0.120625,0.09747619,0.108958333,0.099052632,0.065144928,0.121098901,0.105261438,0.077233202,0.430909091,0.067272727,0.120625,0.09747619,0.108958333
